date,forecasted_gross_revenue
2025-10-30,2702.8192041330844
2025-10-31,2296.4241633896204
2025-11-01,2760.729422417912
2025-11-02,2771.907342644262
2025-11-03,2557.636363936592
2025-11-04,2689.0158490720814
2025-11-05,2372.448463769243
2025-11-06,2690.198612093827
2025-11-07,2283.803571350523
2025-11-08,2748.1088303774586
2025-11-09,2759.2867506052116
2025-11-10,2545.0157718954174
2025-11-11,2676.3952570319625
2025-11-12,2359.8278717293783
2025-11-13,2677.5780200548065
2025-11-14,2271.1829793105708
2025-11-15,2735.4882383379813
2025-11-16,2746.666158566161
2025-11-17,2532.3951798569788
2025-11-18,2663.774664992832
2025-11-19,2347.2072796903362
2025-11-20,2664.957428015303
2025-11-21,2258.562387272328
2025-11-22,2722.867646298504
2025-11-23,2734.045566525633
2025-11-24,2519.7745878179153
2025-11-25,2651.1540729527132
2025-11-26,2334.5866876508826
2025-11-27,2652.336835975799
2025-11-28,2245.941795232376
2025-11-29,2710.247054258051
2025-11-30,2721.4249744851054
2025-12-01,2507.153995778109
2025-12-02,2638.5334809145697
2025-12-03,2321.9660956114285
2025-12-04,2639.716243936541
2025-12-05,2233.3212031929033
2025-12-06,2697.6264622198673
2025-12-07,2708.8043824460547
2025-12-08,2494.5334037383027
2025-12-09,2625.9128888754153
2025-12-10,2309.3455035719753
2025-12-11,2627.0956518972835
2025-12-12,2220.700611153806
2025-12-13,2685.0058701790954
2025-12-14,2696.183790407005
2025-12-15,2481.9128116998645
2025-12-16,2613.2922968362845
2025-12-17,2296.724911532933
2025-12-18,2614.4750598577793
2025-12-19,2208.080019114709
2025-12-20,2672.3852781409123
2025-12-21,2683.5631983681005
2025-12-22,2469.2922196614263
2025-12-23,2600.671704796166
2025-12-24,2284.104319493068
2025-12-25,2601.8544678182757
2025-12-26,2195.459427075237
2025-12-27,2659.764686101435
2025-12-28,2670.9426063275732
2025-12-29,2456.67162762162
2025-12-30,2588.051112757035
2025-12-31,2271.483727454025
2026-01-01,2589.233875779255
2026-01-02,2182.8388350361392
2026-01-03,2647.144094063251
2026-01-04,2658.32201429
2026-01-05,2444.0510355798206
2026-01-06,2575.4305207178804
2026-01-07,2258.8631354145714
2026-01-08,2576.6132837399973
2026-01-09,2170.218242996187
2026-01-10,2634.523502023774
2026-01-11,2645.7014222494727
2026-01-12,2431.430443541382
2026-01-13,2562.809928678749
2026-01-14,2246.242543375529
2026-01-15,2563.9926917002476
2026-01-16,2157.5976509579446
2026-01-17,2621.902909983321
2026-01-18,2633.0808302104224
2026-01-19,2418.8098515029437
2026-01-20,2550.189336638631
2026-01-21,2233.621951336075
2026-01-22,2551.372099661474
2026-01-23,2144.9770589179925
2026-01-24,2609.2823179438437
2026-01-25,2620.460238169894
2026-01-26,2406.1892594631377
2026-01-27,2537.568744600487
