date,forecasted_gross_revenue
2025-10-30,3058.7557415136903
2025-10-31,3058.2966505550016
2025-11-01,3058.114784128585
2025-11-02,3058.4213037003997
2025-11-03,3059.2349228136673
2025-11-04,3058.65045800043
2025-11-05,3058.3819349089154
2025-11-06,3058.7286841546056
2025-11-07,3058.3251974556097
2025-11-08,3058.1653583590987
2025-11-09,3058.434752839361
2025-11-10,3059.1498278893905
2025-11-11,3058.63615238847
2025-11-12,3058.400152324106
2025-11-13,3058.7049039335093
2025-11-14,3058.350286807675
2025-11-15,3058.209807131042
2025-11-16,3058.4465730431375
2025-11-17,3059.0750395071577
2025-11-18,3058.6235794461413
2025-11-19,3058.41616327919
2025-11-20,3058.6840039294243
2025-11-21,3058.3723373831717
2025-11-22,3058.2488723487863
2025-11-23,3058.4569616053886
2025-11-24,3059.0093093573932
2025-11-25,3058.6125293156597
2025-11-26,3058.430235016594
2025-11-27,3058.665635295721
2025-11-28,3058.391717233178
2025-11-29,3058.2832060585997
2025-11-30,3058.4660919239254
2025-12-01,3058.951540323499
2025-12-02,3058.6028175568304
2025-12-03,3058.4426024108257
2025-12-04,3058.649491437434
2025-12-05,3058.4087498310937
2025-12-06,3058.3133813320933
2025-12-07,3058.4741163949316
2025-12-08,3058.9007681696394
2025-12-09,3058.594282068519
2025-12-10,3058.4534718888212
2025-12-11,3058.6353028938206
2025-12-12,3058.4237194718107
2025-12-13,3058.33990183149
2025-12-14,3058.4811689566423
2025-12-15,3058.8561454464634
2025-12-16,3058.586780382986
2025-12-17,3058.463024875464
2025-12-18,3058.622832840735
2025-12-19,3058.4368760169436
2025-12-20,3058.3632102163638
2025-12-21,3058.4873673249404
2025-12-22,3058.816927346142
2025-12-23,3058.5801872879238
2025-12-24,3058.471420821785
2025-12-25,3058.6118731377373
2025-12-26,3058.4484390653224
2025-12-27,3058.383695532168
2025-12-28,3058.4928149581738
2025-12-29,3058.7824592706115
2025-12-30,3058.5743927365124
2025-12-31,3058.4787998664
2026-01-01,3058.6022408539807
2026-01-02,3058.4586016183694
2026-01-03,3058.4016997038807
2026-01-04,3058.497602784005
2026-01-05,3058.7521659055315
2026-01-06,3058.5693000106007
2026-01-07,3058.485285174588
2026-01-08,3058.593775214867
2026-01-09,3058.4675333015243
2026-01-10,3058.417523243149
2026-01-11,3058.5018107171027
2026-01-12,3058.725541617586
2026-01-13,3058.5648241063645
2026-01-14,3058.4909849940755
2026-01-15,3058.5863349185242
2026-01-16,3058.475383195504
2026-01-17,3058.431430264198
2026-01-18,3058.5055089930174
2026-01-19,3058.702142014842
2026-01-20,3058.5608903154866
2026-01-21,3058.495994461821
2026-01-22,3058.5797957773057
2026-01-23,3058.48228232464
2026-01-24,3058.443652892219
2026-01-25,3058.508759340498
2026-01-26,3058.68157652931
2026-01-27,3058.557432978186
