date,forecasted_gross_revenue
2025-10-30,3235.8857421875
2025-10-31,2746.972900390625
2025-11-01,3235.8857421875
2025-11-02,3235.8857421875
2025-11-03,3235.8857421875
2025-11-04,3235.8857421875
2025-11-05,3235.8857421875
2025-11-06,3235.8857421875
2025-11-07,2679.6787109375
2025-11-08,3235.8857421875
2025-11-09,2679.6787109375
2025-11-10,2679.6787109375
2025-11-11,3235.8857421875
2025-11-12,2746.972900390625
2025-11-13,3235.8857421875
2025-11-14,3235.8857421875
2025-11-15,3235.8857421875
2025-11-16,3235.8857421875
2025-11-17,3235.8857421875
2025-11-18,3235.8857421875
2025-11-19,3235.8857421875
2025-11-20,3235.8857421875
2025-11-21,2679.6787109375
2025-11-22,3235.8857421875
2025-11-23,3235.8857421875
2025-11-24,3235.8857421875
2025-11-25,3298.273193359375
2025-11-26,3298.273193359375
2025-11-27,2786.361083984375
2025-11-28,2786.361083984375
2025-11-29,2935.11328125
2025-11-30,2957.0322265625
2025-12-01,3500.291748046875
2025-12-02,3500.291748046875
2025-12-03,2971.442626953125
2025-12-04,2935.11328125
2025-12-05,3461.502197265625
2025-12-06,3461.502197265625
2025-12-07,2938.50927734375
2025-12-08,3461.502197265625
2025-12-09,3220.888671875
2025-12-10,2924.2587890625
2025-12-11,2924.2587890625
2025-12-12,2924.2587890625
2025-12-13,3455.0380859375
2025-12-14,2933.023193359375
2025-12-15,2933.023193359375
2025-12-16,3455.0380859375
2025-12-17,3455.0380859375
2025-12-18,2933.023193359375
2025-12-19,3455.0380859375
2025-12-20,3455.0380859375
2025-12-21,3455.0380859375
2025-12-22,3455.0380859375
2025-12-23,3455.0380859375
2025-12-24,3455.0380859375
2025-12-25,3455.0380859375
2025-12-26,2933.023193359375
2025-12-27,2933.023193359375
2025-12-28,2933.023193359375
2025-12-29,3455.0380859375
2025-12-30,3455.0380859375
2025-12-31,3455.0380859375
2026-01-01,3383.75537109375
2026-01-02,2878.527099609375
2026-01-03,2878.527099609375
2026-01-04,3383.75537109375
2026-01-05,2878.527099609375
2026-01-06,2878.527099609375
2026-01-07,2878.527099609375
2026-01-08,3383.75537109375
2026-01-09,3383.75537109375
2026-01-10,3383.75537109375
2026-01-11,2878.527099609375
2026-01-12,2878.527099609375
2026-01-13,2878.527099609375
2026-01-14,2878.527099609375
2026-01-15,3383.75537109375
2026-01-16,3383.75537109375
2026-01-17,3383.75537109375
2026-01-18,3383.75537109375
2026-01-19,3383.75537109375
2026-01-20,3364.16943359375
2026-01-21,3273.058349609375
2026-01-22,2861.861572265625
2026-01-23,3273.058349609375
2026-01-24,3273.058349609375
2026-01-25,3273.058349609375
2026-01-26,2861.861572265625
2026-01-27,3273.058349609375
