date,forecasted_gross_revenue
2025-10-31,9149.91134070785
2025-11-01,9149.91134070785
2025-11-02,8852.317772061719
2025-11-03,9243.22213477664
2025-11-04,9825.375045913433
2025-11-05,9149.91134070785
2025-11-06,9226.749525324782
2025-11-07,9302.3837399176
2025-11-08,9389.351061281954
2025-11-09,9454.29948086306
2025-11-10,7821.102474602015
2025-11-11,8298.861873750528
2025-11-12,7824.257378000053
2025-11-13,8156.326053420101
2025-11-14,8156.326053420101
2025-11-15,8156.326053420101
2025-11-16,8156.326053420101
2025-11-17,8378.33166996827
2025-11-18,8890.129938500057
2025-11-19,8381.71135040863
2025-11-20,7999.684814027377
2025-11-21,7975.383250213404
2025-11-22,8055.867175407823
2025-11-23,7776.562396692899
2025-11-24,8341.83856817304
2025-11-25,8485.822187601263
2025-11-26,8000.525598545664
2025-11-27,8000.525598545664
2025-11-28,8000.525598545664
2025-11-29,8000.525598545664
2025-11-30,8000.525598545664
2025-12-01,8284.532447026759
2025-12-02,8485.822187601263
2025-12-03,7828.109666895022
2025-12-04,7709.79950243785
2025-12-05,7709.79950243785
2025-12-06,7709.79950243785
2025-12-07,7776.832950207445
2025-12-08,8111.09954985377
2025-12-09,8020.122831264629
2025-12-10,7714.653602142749
2025-12-11,7714.653602142749
2025-12-12,7714.653602142749
2025-12-13,7612.742229591621
2025-12-14,7612.742229591621
2025-12-15,8003.951085301215
2025-12-16,8198.423525095874
2025-12-17,7425.457570864878
2025-12-18,7425.457570864878
2025-12-19,7692.151989027004
2025-12-20,7692.151989027004
2025-12-21,7692.151989027004
2025-12-22,7807.04211317691
2025-12-23,8380.411454894826
2025-12-24,7952.080013692443
2025-12-25,7474.264201123575
2025-12-26,8490.09555443188
2025-12-27,8411.457439435728
2025-12-28,8145.191693546597
2025-12-29,8535.682619859655
2025-12-30,8743.074569998555
2025-12-31,8145.191693546597
2026-01-01,8370.551798276814
2026-01-02,8370.551798276814
2026-01-03,8370.551798276814
2026-01-04,8306.136578762515
2026-01-05,8704.343409093291
2026-01-06,8930.065396687998
2026-01-07,8582.366066735165
2026-01-08,9520.970854400211
2026-01-09,10286.80804845193
2026-01-10,10384.63602672576
2026-01-11,10384.63602672576
2026-01-12,10882.488783796285
2026-01-13,11146.901212391633
2026-01-14,9926.881183501293
2026-01-15,9622.713499115807
2026-01-16,8803.431400861034
2026-01-17,9081.702113596317
2026-01-18,8803.431400861034
2026-01-19,9434.471796984955
2026-01-20,9558.800037926814
2026-01-21,8851.001397491495
2026-01-22,8441.624659698971
2026-01-23,8858.424001631663
2026-01-24,9025.61667626097
2026-01-25,8941.159910026267
2026-01-26,9617.533600003917
2026-01-27,9791.326705073501
2026-01-28,9231.36947909675
