date,forecasted_gross_revenue
2025-10-31,494.9323453566294
2025-11-01,622.7278911836913
2025-11-02,495.29592851945677
2025-11-03,622.3653424287179
2025-11-04,495.6574458095058
2025-11-05,622.0048536690365
2025-11-06,496.0169089650274
2025-11-07,621.6464131997922
2025-11-08,496.3743296575758
2025-11-09,621.2900093826366
2025-11-10,496.72971949238763
2025-11-11,620.9356306453506
2025-11-12,497.08309000875875
2025-11-13,620.5832654814677
2025-11-14,497.43445268041916
2025-11-15,620.2329024499015
2025-11-16,497.78381891590516
2025-11-17,619.8845301745732
2025-11-18,498.13120005893
2025-11-19,619.5381373440429
2025-11-20,498.4766073887522
2025-11-21,619.193712711142
2025-11-22,498.82005212054173
2025-11-23,618.8512450926081
2025-11-24,499.1615454057441
2025-11-25,618.510723368722
2025-11-26,499.50109833244267
2025-11-27,618.1721364829464
2025-11-28,499.83872192571835
2025-11-29,617.835473441567
2025-11-30,500.17442714800785
2025-12-01,617.5007233133359
2025-12-02,500.5082248994595
2025-12-03,617.1678752291159
2025-12-04,500.84012601828704
2025-12-05,616.8369183815284
2025-12-06,501.170141281122
2025-12-07,616.5078420246019
2025-12-08,501.49828140336297
2025-12-09,616.1806354734234
2025-12-10,501.824557039524
2025-12-11,615.8552881037914
2025-12-12,502.1489787835804
2025-12-13,615.5317893518709
2025-12-14,502.47155716931275
2025-12-15,615.2101287138503
2025-12-16,502.7923026706486
2025-12-17,614.8902957456006
2025-12-18,503.1112257020032
2025-12-19,614.5722800623362
2025-12-20,503.4283366186171
2025-12-21,614.2560713382774
2025-12-22,503.74364571689256
2025-12-23,613.9416593063156
2025-12-24,504.05716323472797
2025-12-25,613.6290337576798
2025-12-26,504.36889935185013
2025-12-27,613.318184541605
2025-12-28,504.67886419014485
2025-12-29,613.0091015650023
2025-12-30,504.9870678139854
2025-12-31,612.701774792132
2026-01-01,505.2935202305597
2026-01-02,612.3961942442771
2026-01-03,505.5982313901949
2026-01-04,612.0923499994194
2026-01-05,505.9012111866804
2026-01-06,611.7902321919177
2026-01-07,506.20246945758976
2026-01-08,611.4898310121868
2026-01-09,506.50201598459915
2026-01-10,611.1911367063797
2026-01-11,506.7998604938057
2026-01-12,610.8941395760704
2026-01-13,507.09601265604283
2026-01-14,610.5988299779393
2026-01-15,507.39048208719464
2026-01-16,610.30519832346
2026-01-17,507.68327834850794
2026-01-18,610.0132350785876
2026-01-19,507.97441094690265
2026-01-20,609.7229307634499
2026-01-21,508.26388933528057
2026-01-22,609.4342759520389
2026-01-23,508.55172291283236
2026-01-24,609.1472612719051
2026-01-25,508.83792102534255
2026-01-26,608.861877403853
2026-01-27,509.12249296549305
2026-01-28,608.5781150816385
