platform_name,platform_key,month_year,year,month,total_orders,unique_dates,total_revenue,total_items,days_in_month,date_coverage_pct,avg_orders_per_day,avg_order_value
Lazada,1,2022-10,2022,10,44.0,16.0,0.0,56.0,31,51.6,2.8,0.0
Lazada,1,2022-11,2022,11,73.0,27.0,0.0,94.0,30,90.0,2.7,0.0
Lazada,1,2022-12,2022,12,14.0,6.0,0.0,16.0,31,19.4,2.3,0.0
Lazada,1,2023-01,2023,1,56.0,17.0,0.0,76.0,31,54.8,3.3,0.0
Lazada,1,2023-02,2023,2,121.0,28.0,0.0,165.0,28,100.0,4.3,0.0
Lazada,1,2023-03,2023,3,168.0,31.0,0.0,223.0,31,100.0,5.4,0.0
Lazada,1,2023-04,2023,4,112.0,28.0,0.0,148.0,30,93.3,4.0,0.0
Lazada,1,2023-05,2023,5,240.0,30.0,0.0,318.0,31,96.8,8.0,0.0
Lazada,1,2023-06,2023,6,330.0,30.0,0.0,454.0,30,100.0,11.0,0.0
Lazada,1,2023-07,2023,7,250.0,31.0,0.0,357.0,31,100.0,8.1,0.0
Lazada,1,2023-08,2023,8,208.0,31.0,0.0,291.0,31,100.0,6.7,0.0
Lazada,1,2023-09,2023,9,321.0,30.0,0.0,455.0,30,100.0,10.7,0.0
Lazada,1,2023-10,2023,10,352.0,31.0,0.0,449.0,31,100.0,11.4,0.0
Lazada,1,2023-11,2023,11,272.0,30.0,0.0,441.0,30,100.0,9.1,0.0
Lazada,1,2023-12,2023,12,367.0,31.0,0.0,504.0,31,100.0,11.8,0.0
Lazada,1,2024-01,2024,1,287.0,31.0,0.0,414.0,31,100.0,9.3,0.0
Lazada,1,2024-02,2024,2,219.0,29.0,0.0,318.0,29,100.0,7.6,0.0
Lazada,1,2024-03,2024,3,221.0,30.0,0.0,360.0,31,96.8,7.4,0.0
Lazada,1,2024-04,2024,4,370.0,30.0,0.0,476.0,30,100.0,12.3,0.0
Lazada,1,2024-05,2024,5,248.0,31.0,0.0,379.0,31,100.0,8.0,0.0
Lazada,1,2024-06,2024,6,243.0,30.0,0.0,336.0,30,100.0,8.1,0.0
Lazada,1,2024-07,2024,7,240.0,31.0,0.0,344.0,31,100.0,7.7,0.0
Lazada,1,2024-08,2024,8,305.0,31.0,0.0,435.0,31,100.0,9.8,0.0
Lazada,1,2024-09,2024,9,290.0,29.0,0.0,406.0,30,96.7,10.0,0.0
Lazada,1,2024-10,2024,10,202.0,31.0,0.0,297.0,31,100.0,6.5,0.0
Lazada,1,2024-11,2024,11,300.0,30.0,0.0,401.0,30,100.0,10.0,0.0
Lazada,1,2024-12,2024,12,362.0,31.0,0.0,555.0,31,100.0,11.7,0.0
Lazada,1,2025-01,2025,1,215.0,31.0,0.0,352.0,31,100.0,6.9,0.0
Lazada,1,2025-02,2025,2,330.0,28.0,0.0,469.0,28,100.0,11.8,0.0
Lazada,1,2025-03,2025,3,233.0,31.0,0.0,399.0,31,100.0,7.5,0.0
Lazada,1,2025-04,2025,4,176.0,30.0,0.0,305.0,30,100.0,5.9,0.0
Lazada,1,2025-05,2025,5,237.0,31.0,0.0,352.0,31,100.0,7.6,0.0
Lazada,1,2025-06,2025,6,219.0,30.0,0.0,327.0,30,100.0,7.3,0.0
Lazada,1,2025-07,2025,7,247.0,31.0,0.0,374.0,31,100.0,8.0,0.0
Lazada,1,2025-08,2025,8,222.0,31.0,0.0,339.0,31,100.0,7.2,0.0
Lazada,1,2025-09,2025,9,194.0,30.0,0.0,318.0,30,100.0,6.5,0.0
Lazada,1,2025-10,2025,10,151.0,29.0,0.0,221.0,31,93.5,5.2,0.0
Shopee,2,2020-09,2020,9,1.0,1.0,243.0,1.0,30,3.3,1.0,243.0
Shopee,2,2020-10,2020,10,16.0,11.0,4729.0,16.0,31,35.5,1.5,295.56
Shopee,2,2020-11,2020,11,4.0,3.0,2835.0,4.0,30,10.0,1.3,708.75
Shopee,2,2020-12,2020,12,10.0,10.0,2114.0,11.0,31,32.3,1.0,211.4
Shopee,2,2021-01,2021,1,17.0,10.0,6403.0,23.0,31,32.3,1.7,376.65
Shopee,2,2021-02,2021,2,20.0,16.0,7646.0,24.0,28,57.1,1.2,382.3
Shopee,2,2021-03,2021,3,25.0,17.0,8941.0,28.0,31,54.8,1.5,357.64
Shopee,2,2021-04,2021,4,45.0,20.0,16706.0,57.0,30,66.7,2.2,371.24
Shopee,2,2021-05,2021,5,391.0,19.0,183346.0,544.0,31,61.3,20.6,468.92
Shopee,2,2021-06,2021,6,286.0,24.0,134617.0,342.0,30,80.0,11.9,470.69
Shopee,2,2021-07,2021,7,210.0,16.0,100291.0,261.0,31,51.6,13.1,477.58
