platform_key,order_date,time_category,total_orders,total_revenue,total_items,platform_name
1,2025-10-08,Earlier,2,0.0,2,Lazada
1,2025-10-09,Earlier,2,0.0,2,Lazada
1,2025-10-10,Earlier,11,0.0,11,Lazada
1,2025-10-11,Earlier,9,0.0,14,Lazada
1,2025-10-12,Earlier,4,0.0,6,Lazada
1,2025-10-13,Earlier,5,0.0,7,Lazada
1,2025-10-14,Earlier,2,0.0,4,Lazada
1,2025-10-15,Earlier,6,0.0,8,Lazada
1,2025-10-16,Earlier,4,0.0,8,Lazada
1,2025-10-17,Earlier,6,0.0,12,Lazada
1,2025-10-18,Earlier,5,0.0,7,Lazada
1,2025-10-19,Earlier,5,0.0,7,Lazada
1,2025-10-20,Earlier,6,0.0,7,Lazada
1,2025-10-21,Earlier,9,0.0,15,Lazada
1,2025-10-22,Earlier,5,0.0,7,Lazada
1,2025-10-23,Earlier,9,0.0,11,Lazada
1,2025-10-24,Earlier,2,0.0,3,Lazada
1,2025-10-25,Earlier,4,0.0,4,Lazada
1,2025-10-26,Earlier,7,0.0,10,Lazada
1,2025-10-27,Earlier,1,0.0,1,Lazada
1,2025-10-28,Earlier,7,0.0,10,Lazada
1,2025-10-29,Earlier,5,0.0,5,Lazada
2,2025-10-08,Earlier,34,25387.0,49,Shopee
2,2025-10-09,Earlier,27,19697.0,39,Shopee
2,2025-10-10,Earlier,3,1266.0,4,Shopee
2,2025-10-11,Earlier,35,20755.0,46,Shopee
2,2025-10-12,Earlier,47,26438.0,63,Shopee
2,2025-10-13,Earlier,35,32276.0,46,Shopee
2,2025-10-14,Earlier,30,18438.0,40,Shopee
2,2025-10-15,Earlier,46,26319.0,58,Shopee
2,2025-10-16,Earlier,31,18429.0,43,Shopee
2,2025-10-17,Earlier,29,22585.0,48,Shopee
2,2025-10-18,Earlier,20,8856.0,25,Shopee
2,2025-10-19,Earlier,38,16483.0,44,Shopee
2,2025-10-20,Earlier,30,20452.0,34,Shopee
2,2025-10-21,Earlier,38,19036.0,42,Shopee
2,2025-10-22,Earlier,41,22294.0,50,Shopee
2,2025-10-23,Earlier,26,16370.0,33,Shopee
2,2025-10-24,Earlier,44,20064.0,56,Shopee
2,2025-10-25,Earlier,33,20906.0,48,Shopee
2,2025-10-26,Earlier,1,287.0,1,Shopee
2,2025-10-27,Earlier,36,22038.0,47,Shopee
2,2025-10-28,Earlier,25,15073.0,32,Shopee
2,2025-10-29,Earlier,20,10102.0,25,Shopee
2,2025-10-30,Earlier,17,8006.0,19,Shopee
