product_variant_key,product_key,platform_sku_id,canonical_sku,variant_attribute_1,variant_attribute_2,variant_attribute_3,platform_key
1.1,1.1,17808092447,LAV,N/A,N/A,N/A,1
2.1,2.1,30683243468,5175120341-1752677181110-0,N/A,N/A,N/A,1
3.1,3.1,30848790568,5081975434-1755061842711-5,N/A,N/A,N/A,1
4.1,3.1,30848790567,5081975434-1755061842710-4,N/A,N/A,N/A,1
5.1,3.1,30848790566,5081975434-1755061842710-3,N/A,N/A,N/A,1
6.1,3.1,30848790572,5081975434-1755061842711-9,N/A,N/A,N/A,1
7.1,3.1,30848790571,5081975434-1755061842711-8,N/A,N/A,N/A,1
8.1,3.1,30848790570,5081975434-1755061842711-7,N/A,N/A,N/A,1
9.1,3.1,30848790569,5081975434-1755061842711-6,N/A,N/A,N/A,1
10.1,3.1,30848790575,5081975434-1755061842711-12,N/A,N/A,N/A,1
11.1,3.1,30848790574,5081975434-1755061842711-11,N/A,N/A,N/A,1
12.1,3.1,30848790573,5081975434-1755061842711-10,N/A,N/A,N/A,1
13.1,3.1,30848790577,5081975434-1755061842711-14,N/A,N/A,N/A,1
14.1,3.1,30848790576,5081975434-1755061842711-13,N/A,N/A,N/A,1
15.1,3.1,30848790565,5081975434-1755061842710-2,N/A,N/A,N/A,1
16.1,3.1,30848790564,5081975434-1755061842710-1,N/A,N/A,N/A,1
17.1,3.1,30848790563,5081975434-1755061842710-0,N/A,N/A,N/A,1
18.1,4.1,19667622968,3730272243-1681483587441-13,N/A,N/A,Bubble Gum,1
19.1,4.1,19667622967,3730272243-1681483587441-12,N/A,N/A,Melon Cucumber,1
20.1,4.1,19667622969,3730272243-1681483587441-14,N/A,N/A,Eucalyptus,1
21.1,4.1,19667622961,3730272243-1681483587441-6,N/A,N/A,White Tea,1
22.1,4.1,19667622960,3730272243-1681483587441-5,N/A,N/A,Conrad,1
23.1,4.1,19667622959,3730272243-1681483587441-4,N/A,N/A,Solaire,1
24.1,4.1,19667622966,3730272243-1681483587441-11,N/A,N/A,Fresh Linen,1
25.1,4.1,19667622958,3730272243-1681483587441-3,N/A,N/A,Marriott,1
26.1,4.1,19667622965,3730272243-1681483587441-10,N/A,N/A,Lavender,1
27.1,4.1,19667622957,3730272243-1681483587441-2,N/A,N/A,Okada,1
28.1,4.1,19667622956,3730272243-1681483587441-1,N/A,N/A,Fresh Bamboo,1
29.1,4.1,19667622955,3730272243-1681483587441-0,N/A,N/A,Shangrila,1
30.1,4.1,19667622964,3730272243-1681483587441-9,N/A,N/A,Cherry Blossom,1
31.1,4.1,19667622963,3730272243-1681483587441-8,N/A,N/A,Green Tea,1
32.1,4.1,19667622962,3730272243-1681483587441-7,N/A,N/A,Marine Squash,1
