time_key,platform_key,customer_key,product_key,total_orders,total_items_sold,gross_revenue,total_discounts,net_sales
20201108,2,10022.2,2.2,1,1,299.0,45.0,254.0
20201111,2,10022.2,2.2,1,1,299.0,92.0,207.0
20201117,2,10024.2,2.2,1,6,299.0,0.0,299.0
20201123,2,10025.2,2.2,1,1,299.0,0.0,299.0
20201124,2,10026.2,2.2,1,1,299.0,0.0,299.0
20201213,2,10028.2,2.2,1,1,60.0,0.0,60.0
20201215,2,10029.2,2.2,1,1,60.0,0.0,60.0
20201216,2,10030.2,2.2,1,1,299.0,0.0,299.0
20201217,2,10031.2,2.2,1,1,60.0,2.0,58.0
20201218,2,10032.2,2.2,1,1,299.0,6.0,293.0
20201219,2,10033.2,2.2,1,2,120.0,0.0,120.0
20201223,2,10035.2,2.2,1,1,299.0,134.0,165.0
20201224,2,10036.2,2.2,1,1,60.0,0.0,60.0
20201225,2,10037.2,2.2,1,2,60.0,0.0,60.0
20201226,2,10038.2,2.2,1,1,299.0,0.0,299.0
20201228,2,10039.2,2.2,1,1,350.0,0.0,350.0
20201228,2,10040.2,2.2,1,1,350.0,0.0,350.0
20201228,2,10041.2,2.2,1,1,350.0,0.0,350.0
20210102,2,10043.2,2.2,1,1,350.0,176.0,174.0
20210103,2,10045.2,29.2,1,1,80.0,0.0,80.0
20210105,2,10046.2,2.2,1,1,350.0,0.0,350.0
20210108,2,10047.2,2.2,1,1,350.0,0.0,350.0
20210111,2,10048.2,2.2,1,1,350.0,0.0,350.0
20210111,2,10050.2,2.2,1,1,350.0,0.0,350.0
20210118,2,10053.2,2.2,1,1,350.0,0.0,350.0
20210118,2,10054.2,2.2,1,1,350.0,0.0,350.0
20210118,2,10055.2,29.2,1,2,160.0,0.0,160.0
20210120,2,10056.2,2.2,1,1,0.0,33.33333333333333,-33.33333333333333
20210120,2,10056.2,32.2,1,1,0.0,33.33333333333333,-33.33333333333333
20210120,2,10057.2,2.2,1,1,350.0,0.0,350.0
20210120,2,10057.2,9.2,1,1,350.0,0.0,350.0
20210124,2,10059.2,29.2,1,3,240.0,0.0,240.0
20210129,2,10060.2,32.2,1,1,350.0,0.0,350.0
20210203,2,10062.2,2.2,1,1,350.0,0.0,350.0
20210204,2,10063.2,2.2,1,1,350.0,0.0,350.0
20210206,2,10064.2,2.2,1,1,350.0,0.0,350.0
20210206,2,10065.2,29.2,1,2,80.0,0.0,80.0
20210209,2,10068.2,32.2,1,1,350.0,0.0,350.0
20210209,2,10069.2,2.2,1,1,350.0,0.0,350.0
20210210,2,10070.2,2.2,1,1,350.0,0.0,350.0
20210212,2,10072.2,2.2,1,1,0.0,6.333333333333333,-6.333333333333333
20210212,2,10072.2,9.2,1,1,0.0,6.333333333333333,-6.333333333333333
20210212,2,10072.2,32.2,1,1,0.0,6.333333333333333,-6.333333333333333
20210216,2,10074.2,32.2,1,1,350.0,0.0,350.0
20210218,2,10076.2,32.2,1,1,350.0,0.0,350.0
20210223,2,10078.2,2.2,1,1,350.0,0.0,350.0
20210226,2,10079.2,9.2,1,1,350.0,176.0,174.0
20210301,2,10080.2,2.2,1,1,350.0,4.0,346.0
20210303,2,10082.2,2.2,1,1,350.0,0.0,350.0
20210303,2,10084.2,2.2,1,1,350.0,0.0,350.0
20210303,2,10085.2,2.2,1,1,350.0,0.0,350.0
20210304,2,10086.2,2.2,1,1,350.0,120.0,230.0
20210304,2,10087.2,2.2,1,1,350.0,6.0,344.0
20210304,2,10088.2,2.2,1,1,350.0,0.0,350.0
20210304,2,10088.2,32.2,1,1,350.0,0.0,350.0
20210305,2,10089.2,2.2,1,1,350.0,0.0,350.0
20210306,2,10090.2,2.2,1,1,350.0,0.0,350.0
20210309,2,10092.2,2.2,1,1,350.0,0.0,350.0
20210310,2,10093.2,32.2,1,1,350.0,0.0,350.0
20210314,2,10094.2,2.2,1,1,350.0,60.0,290.0
20210315,2,10095.2,2.2,1,1,350.0,0.0,350.0
20210316,2,10096.2,2.2,1,1,350.0,0.0,350.0
20210318,2,10097.2,29.2,1,3,240.0,0.0,240.0
20210319,2,10098.2,2.2,1,1,350.0,0.0,350.0
20210323,2,10080.2,32.2,1,1,350.0,50.0,300.0
20210323,2,10101.2,29.2,1,1,80.0,40.3883495145631,39.6116504854369
20210325,2,10102.2,2.2,1,1,350.0,43.95348837209303,306.04651162790697
20210325,2,10102.2,29.2,1,1,80.0,10.046511627906977,69.95348837209302
20210325,2,10104.2,9.2,1,1,350.0,0.0,350.0
20210329,2,10106.2,2.2,1,1,350.0,0.0,350.0
20210404,2,10107.2,9.2,1,1,350.0,0.0,350.0
20210404,2,10108.2,2.2,1,1,350.0,0.0,350.0
20210408,2,10109.2,2.2,1,1,350.0,0.0,350.0
20210409,2,10112.2,2.2,1,1,350.0,0.0,350.0
20210410,2,10114.2,2.2,1,1,350.0,0.0,350.0
20210411,2,10115.2,2.2,1,1,350.0,0.0,350.0
20210412,2,10080.2,2.2,1,1,350.0,0.0,350.0
20210413,2,10118.2,2.2,1,1,350.0,176.0,174.0
20210414,2,10120.2,2.2,1,1,350.0,0.0,350.0
20210415,2,10122.2,29.2,1,1,80.0,0.0,80.0
20210416,2,10123.2,2.2,1,1,350.0,0.0,350.0
20210417,2,10125.2,2.2,1,1,350.0,0.0,350.0
20210417,2,10126.2,2.2,2,2,700.0,264.0,436.0
20210417,2,10128.2,2.2,1,1,350.0,0.0,350.0
20210420,2,10129.2,32.2,1,1,350.0,0.0,350.0
20210422,2,10130.2,2.2,1,1,350.0,0.0,350.0
20210424,2,10131.2,2.2,1,1,350.0,0.0,350.0
20210425,2,10132.2,2.2,1,1,350.0,0.0,350.0
20210425,2,10133.2,29.2,1,3,240.0,0.0,240.0
20210426,2,10134.2,9.2,2,2,700.0,0.0,700.0
20210426,2,10135.2,21.2,1,1,350.0,0.0,350.0
20210427,2,10136.2,2.2,1,1,350.0,0.0,350.0
20210427,2,10137.2,2.2,1,1,350.0,0.0,350.0
20210428,2,10139.2,2.2,1,1,350.0,0.0,350.0
20210428,2,10140.2,2.2,1,1,350.0,0.0,350.0
20210428,2,10141.2,21.2,1,1,100.0,50.0,50.0
20210428,2,10142.2,2.2,1,1,350.0,176.0,174.0
20210429,2,10144.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10145.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10146.2,9.2,1,1,350.0,0.0,350.0
20210429,2,10148.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10149.2,2.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210429,2,10149.2,9.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210429,2,10149.2,32.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210429,2,10150.2,2.2,1,1,0.0,192.79661016949152,-192.79661016949152
20210429,2,10150.2,9.2,1,2,0.0,385.59322033898303,-385.59322033898303
20210429,2,10150.2,28.2,1,1,130.0,71.61016949152543,58.389830508474574
20210429,2,10151.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10152.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10153.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10154.2,2.2,1,1,350.0,138.0,212.0
20210429,2,10155.2,2.2,1,1,350.0,0.0,350.0
20210429,2,10156.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10158.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10159.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10160.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10161.2,2.2,1,1,350.0,20.0,330.0
20210430,2,10162.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10163.2,2.2,1,3,0.0,250.0,-250.0
20210430,2,10164.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10165.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10166.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10167.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10168.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10169.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10170.2,21.2,1,2,200.0,20.0,180.0
20210430,2,10171.2,2.2,2,2,700.0,0.0,700.0
20210430,2,10172.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10173.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10174.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10175.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10176.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10177.2,2.2,1,1,350.0,126.0,224.0
20210430,2,10178.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10179.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10180.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10181.2,2.2,1,1,350.0,28.0,322.0
20210430,2,10182.2,2.2,1,1,350.0,142.0,208.0
20210430,2,10182.2,32.2,1,1,350.0,142.0,208.0
20210430,2,10183.2,2.2,1,1,350.0,176.0,174.0
20210430,2,10184.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10185.2,2.2,1,1,350.0,110.0,240.0
20210430,2,10186.2,2.2,1,1,350.0,118.0,232.0
20210430,2,10187.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10188.2,29.2,1,1,80.0,0.0,80.0
20210430,2,10189.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10190.2,2.2,1,1,350.0,0.0,350.0
20210430,2,10190.2,28.2,1,1,130.0,0.0,130.0
20210430,2,10191.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10140.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10192.2,9.2,1,1,350.0,138.0,212.0
20210501,2,10193.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10194.2,2.2,1,1,350.0,70.0,280.0
20210501,2,10195.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10196.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10197.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10198.2,21.2,1,1,100.0,0.0,100.0
20210501,2,10198.2,29.2,1,4,240.0,0.0,240.0
20210501,2,10199.2,2.2,1,1,350.0,0.0,350.0
20210501,2,10200.2,2.2,1,1,350.0,57.377049180327866,292.62295081967216
20210502,2,10202.2,2.2,1,1,350.0,0.0,350.0
20210502,2,10203.2,2.2,1,1,350.0,0.0,350.0
20210502,2,10204.2,29.2,1,3,240.0,174.0,66.0
20210503,2,10206.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10207.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10208.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10208.2,32.2,1,1,350.0,0.0,350.0
20210503,2,10209.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10210.2,21.2,1,3,300.0,150.0,150.0
20210503,2,10211.2,2.2,2,2,700.0,0.0,700.0
20210503,2,10212.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10213.2,2.2,1,1,350.0,77.0,273.0
20210503,2,10213.2,21.2,1,1,350.0,77.0,273.0
20210503,2,10214.2,2.2,1,2,350.0,350.0,0.0
20210503,2,10215.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10216.2,2.2,1,2,0.0,166.66666666666666,-166.66666666666666
20210503,2,10216.2,9.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210503,2,10217.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10218.2,2.2,1,1,350.0,50.0,300.0
20210503,2,10218.2,44.2,1,1,350.0,50.0,300.0
20210503,2,10219.2,2.2,1,1,350.0,176.0,174.0
20210503,2,10220.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10221.2,2.2,1,1,350.0,0.0,350.0
20210503,2,10222.2,2.2,1,2,350.0,0.0,350.0
20210503,2,10223.2,2.2,1,2,350.0,0.0,350.0
20210503,2,10224.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10225.2,2.2,1,1,350.0,2.0,348.0
20210504,2,10226.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10227.2,2.2,1,1,350.0,56.0,294.0
20210504,2,10228.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10229.2,2.2,1,1,350.0,16.0,334.0
20210504,2,10230.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10231.2,2.2,1,1,350.0,24.0,326.0
20210504,2,10232.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10233.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10234.2,2.2,1,1,0.0,50.0,-50.0
20210504,2,10234.2,9.2,1,1,0.0,50.0,-50.0
20210504,2,10234.2,32.2,1,1,0.0,50.0,-50.0
20210504,2,10235.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10236.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10237.2,9.2,1,1,350.0,156.0,194.0
20210504,2,10238.2,2.2,1,1,350.0,68.62745098039215,281.37254901960785
20210504,2,10238.2,29.2,1,2,160.0,31.37254901960784,128.62745098039215
20210504,2,10239.2,2.2,1,1,350.0,176.0,174.0
20210504,2,10240.2,9.2,1,1,350.0,0.0,350.0
20210504,2,10241.2,2.2,1,1,350.0,166.0,184.0
20210504,2,10241.2,9.2,1,1,350.0,166.0,184.0
20210504,2,10242.2,2.2,1,1,350.0,10.0,340.0
20210504,2,10243.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10244.2,9.2,1,1,350.0,0.0,350.0
20210504,2,10245.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10246.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10247.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10248.2,2.2,1,1,350.0,0.0,350.0
20210504,2,10249.2,2.2,1,1,350.0,175.68627450980392,174.31372549019608
20210504,2,10249.2,29.2,1,2,160.0,80.31372549019608,79.68627450980392
20210504,2,10250.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10251.2,2.2,1,2,350.0,100.0,250.0
20210505,2,10252.2,2.2,1,1,350.0,50.0,300.0
20210505,2,10252.2,21.2,1,1,350.0,50.0,300.0
20210505,2,10254.2,2.2,1,1,350.0,56.0,294.0
20210505,2,10255.2,2.2,1,1,350.0,64.0,286.0
20210505,2,10256.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10257.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10258.2,29.2,1,1,80.0,0.0,80.0
20210505,2,10259.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10260.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10261.2,2.2,1,1,350.0,24.0,326.0
20210505,2,10262.2,2.2,1,1,350.0,6.0,344.0
20210505,2,10263.2,2.2,1,1,350.0,68.0,282.0
20210505,2,10264.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10265.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10266.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10267.2,2.2,1,1,350.0,50.0,300.0
20210505,2,10267.2,9.2,1,1,350.0,50.0,300.0
20210505,2,10268.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10269.2,29.2,1,3,240.0,117.99999999999999,122.00000000000001
20210505,2,10270.2,2.2,1,1,350.0,50.0,300.0
20210505,2,10270.2,9.2,1,1,350.0,50.0,300.0
20210505,2,10271.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10272.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10273.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10274.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10275.2,2.2,1,1,350.0,70.0,280.0
20210505,2,10276.2,9.2,1,1,350.0,0.0,350.0
20210505,2,10277.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10278.2,2.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210505,2,10278.2,21.2,1,2,0.0,166.66666666666666,-166.66666666666666
20210505,2,10279.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10280.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10281.2,2.2,1,1,350.0,4.0,346.0
20210505,2,10282.2,2.2,1,1,350.0,0.0,350.0
20210505,2,10283.2,2.2,1,1,350.0,28.0,322.0
20210505,2,10284.2,2.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210505,2,10284.2,32.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210505,2,10284.2,44.2,1,1,0.0,83.33333333333333,-83.33333333333333
20210505,2,10285.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10219.2,29.2,1,1,100.0,50.0,50.0
20210506,2,10287.2,2.2,1,1,350.0,50.0,300.0
20210506,2,10287.2,9.2,1,1,350.0,50.0,300.0
20210506,2,10288.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10289.2,2.2,1,1,350.0,92.0,258.0
20210506,2,10290.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10291.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10292.2,9.2,1,1,350.0,0.0,350.0
20210506,2,10293.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10294.2,2.2,1,1,350.0,0.0,350.0
20210506,2,10294.2,9.2,1,1,350.0,0.0,350.0
