date,orders db,orders csv,missing orders,gross db ,gross csv,missing gross
2024-09-01,263,318,55,"117,939.08","158,466.87","?40,527.79"
2024-10-01,188,206,18,"97,907.56","120,224.86","?22,317.30"
2024-11-01,280,318,38,"131,272.44","165,197.46","?33,925.02"
2024-12-01,332,382,50,"173,446.13","213,399.72","?39,953.59"
2025-01-01,215,225,10,"127,350.00","139,664.90","?12,314.90"
2025-02-01,330,341,11,"161,218.42","177,472.06","?16,253.64"
2025-03-01,233,231,-2,"143,488.86","156,042.45","?12,553.59"
2025-04-01,176,183,7,"112,016.56","122,213.13","?10,196.57"
2025-05-01,237,261,24,"131,287.16","149,140.90","?17,853.74"
2025-06-01,219,262,43,"123,135.51","132,515.03","?9,379.52"
2025-07-01,247,236,-11,"152,016.00","132,787.39","-?19,228.61"
2025-08-01,222,322,100,"131,457.00","172,058.57","?40,601.57"
