usage_key,voucher_key,order_key,customer_key,time_key,voucher_code,discount_amount,order_value_before_discount,order_value_after_discount,usage_date,customer_segment_at_usage,first_time_customer,created_at
,,,,20250910,,9.1,404.1,395.0,2025-09-10 15:59:38+08:00,unknown,False,2025-09-10 15:59:38+08:00
,,,,20250910,,38.0,798.0,760.0,2025-09-10 17:48:38+08:00,unknown,False,2025-09-10 17:48:38+08:00
,,,,20250910,,19.75,414.75,395.0,2025-09-10 18:29:49+08:00,unknown,False,2025-09-10 18:29:49+08:00
,,,,20250910,,3.7,793.7,790.0,2025-09-10 23:23:23+08:00,unknown,False,2025-09-10 23:23:23+08:00
,,,,20250911,,140.35,535.35,395.0,2025-09-11 10:10:43+08:00,unknown,False,2025-09-11 10:10:43+08:00
,,,,20250912,,19.75,414.75,395.0,2025-09-12 09:13:36+08:00,unknown,False,2025-09-12 09:13:36+08:00
,,,,20250912,,19.75,414.75,395.0,2025-09-12 14:23:51+08:00,unknown,False,2025-09-12 14:23:51+08:00
,,,,20250912,,15.0,410.0,395.0,2025-09-12 15:14:46+08:00,unknown,False,2025-09-12 15:14:46+08:00
,,,,20250912,,39.5,434.5,395.0,2025-09-12 17:06:20+08:00,unknown,False,2025-09-12 17:06:20+08:00
,,,,20250913,,49.8,444.8,395.0,2025-09-13 22:14:36+08:00,unknown,False,2025-09-13 22:14:36+08:00
,,,,20250914,,19.0,399.0,380.0,2025-09-14 07:48:29+08:00,unknown,False,2025-09-14 07:48:29+08:00
,,,,20250914,,51.96,841.96,790.0,2025-09-14 17:57:29+08:00,unknown,False,2025-09-14 17:57:29+08:00
,,,,20250914,,37.42,432.42,395.0,2025-09-14 20:52:50+08:00,unknown,False,2025-09-14 20:52:50+08:00
,,,,20250915,,19.75,414.75,395.0,2025-09-15 08:39:46+08:00,unknown,False,2025-09-15 08:39:46+08:00
,,,,20250915,,128.04,516.04,388.0,2025-09-15 09:17:59+08:00,unknown,False,2025-09-15 09:17:59+08:00
,,,,20250916,,19.0,399.0,380.0,2025-09-16 17:36:44+08:00,unknown,False,2025-09-16 17:36:44+08:00
,,,,20250917,,19.0,414.0,395.0,2025-09-17 18:17:46+08:00,unknown,False,2025-09-17 18:17:46+08:00
,,,,20250917,,45.8,960.8,915.0,2025-09-17 22:05:18+08:00,unknown,False,2025-09-17 22:05:18+08:00
,,,,20250917,,19.75,414.75,395.0,2025-09-17 22:50:42+08:00,unknown,False,2025-09-17 22:50:42+08:00
,,,,20250918,,74.0,454.0,380.0,2025-09-18 00:16:41+08:00,unknown,False,2025-09-18 00:16:41+08:00
,,,,20250918,,6.8,336.8,330.0,2025-09-18 00:36:43+08:00,unknown,False,2025-09-18 00:36:43+08:00
,,,,20250918,,67.8,417.8,350.0,2025-09-18 04:46:56+08:00,unknown,False,2025-09-18 04:46:56+08:00
,,,,20250918,,16.5,346.5,330.0,2025-09-18 14:14:07+08:00,unknown,False,2025-09-18 14:14:07+08:00
,,,,20250918,,16.5,346.5,330.0,2025-09-18 15:17:05+08:00,unknown,False,2025-09-18 15:17:05+08:00
,,,,20250918,,16.5,346.5,330.0,2025-09-18 16:23:17+08:00,unknown,False,2025-09-18 16:23:17+08:00
,,,,20250918,,31.5,361.5,330.0,2025-09-18 17:36:03+08:00,unknown,False,2025-09-18 17:36:03+08:00
,,,,20250918,,16.5,346.5,330.0,2025-09-18 17:46:06+08:00,unknown,False,2025-09-18 17:46:06+08:00
,,,,20250918,,31.5,361.5,330.0,2025-09-18 20:38:51+08:00,unknown,False,2025-09-18 20:38:51+08:00
,,,,20250918,,100.8,430.8,330.0,2025-09-18 20:43:20+08:00,unknown,False,2025-09-18 20:43:20+08:00
,,,,20250918,,73.0,833.0,760.0,2025-09-18 21:48:02+08:00,unknown,False,2025-09-18 21:48:02+08:00
,,,,20250919,,16.5,346.5,330.0,2025-09-19 00:06:51+08:00,unknown,False,2025-09-19 00:06:51+08:00
,,,,20250919,,35.5,745.5,710.0,2025-09-19 10:51:47+08:00,unknown,False,2025-09-19 10:51:47+08:00
,,,,20250919,,16.5,346.5,330.0,2025-09-19 17:34:29+08:00,unknown,False,2025-09-19 17:34:29+08:00
,,,,20250919,,100.8,430.8,330.0,2025-09-19 19:04:22+08:00,unknown,False,2025-09-19 19:04:22+08:00
,,,,20250919,,180.5,1190.5,1010.0,2025-09-19 20:39:30+08:00,unknown,False,2025-09-19 20:39:30+08:00
,,,,20250920,,122.68,1402.68,1280.0,2025-09-20 07:48:45+08:00,unknown,False,2025-09-20 07:48:45+08:00
,,,,20250920,,17.5,367.5,350.0,2025-09-20 11:09:02+08:00,unknown,False,2025-09-20 11:09:02+08:00
,,,,20250920,,19.75,414.75,395.0,2025-09-20 13:49:30+08:00,unknown,False,2025-09-20 13:49:30+08:00
,,,,20250920,,19.75,414.75,395.0,2025-09-20 16:19:19+08:00,unknown,False,2025-09-20 16:19:19+08:00
,,,,20250920,,19.75,414.75,395.0,2025-09-20 21:04:58+08:00,unknown,False,2025-09-20 21:04:58+08:00
,,,,20250920,,34.75,429.75,395.0,2025-09-20 21:50:51+08:00,unknown,False,2025-09-20 21:50:51+08:00
,,,,20250921,,59.17,454.17,395.0,2025-09-21 16:25:48+08:00,unknown,False,2025-09-21 16:25:48+08:00
,,,,20250922,,0.1,790.1,790.0,2025-09-22 07:57:19+08:00,unknown,False,2025-09-22 07:57:19+08:00
,,,,20250922,,27.0,567.0,540.0,2025-09-22 09:46:02+08:00,unknown,False,2025-09-22 09:46:02+08:00
,,,,20250922,,62.0,602.0,540.0,2025-09-22 09:49:24+08:00,unknown,False,2025-09-22 09:49:24+08:00
,,,,20250922,,22.0,1416.0,1394.0,2025-09-22 10:29:05+08:00,unknown,False,2025-09-22 10:29:05+08:00
,,,,20250922,,98.8,478.8,380.0,2025-09-22 12:45:17+08:00,unknown,False,2025-09-22 12:45:17+08:00
,,,,20250922,,49.75,444.75,395.0,2025-09-22 16:22:20+08:00,unknown,False,2025-09-22 16:22:20+08:00
,,,,20250922,,4.7,399.7,395.0,2025-09-22 17:32:38+08:00,unknown,False,2025-09-22 17:32:38+08:00
,,,,20250922,,83.0,843.0,760.0,2025-09-22 18:57:52+08:00,unknown,False,2025-09-22 18:57:52+08:00
,,,,20250922,,55.83,630.83,575.0,2025-09-22 21:16:38+08:00,unknown,False,2025-09-22 21:16:38+08:00
,,,,20250922,,19.0,399.0,380.0,2025-09-22 23:35:41+08:00,unknown,False,2025-09-22 23:35:41+08:00
,,,,20250923,,42.34,402.34000000000003,360.0,2025-09-23 09:52:45+08:00,unknown,False,2025-09-23 09:52:45+08:00
,,,,20250923,,3.0,63.0,60.0,2025-09-23 14:15:12+08:00,unknown,False,2025-09-23 14:15:12+08:00
,,,,20250923,,42.22,437.22,395.0,2025-09-23 22:41:10+08:00,unknown,False,2025-09-23 22:41:10+08:00
,,,,20250924,,19.75,414.75,395.0,2025-09-24 11:38:10+08:00,unknown,False,2025-09-24 11:38:10+08:00
,,,,20250924,,36.88,431.88,395.0,2025-09-24 11:41:51+08:00,unknown,False,2025-09-24 11:41:51+08:00
,,,,20250924,,33.5,428.5,395.0,2025-09-24 19:20:34+08:00,unknown,False,2025-09-24 19:20:34+08:00
,,,,20250924,,19.75,414.75,395.0,2025-09-24 23:11:46+08:00,unknown,False,2025-09-24 23:11:46+08:00
