Date,Revenue,Visitors,Buyers,Orders,Pageviews,Units Sold,Conversion Rate,Revenue per Buyer,Visitor Value,Add to Cart Users,Add to Cart Units,Wishlists,Wishlist Users,Average Order Value,Average Basket Size,Cancelled Amount,Return/Refund Amount
2024-05-01~2024-05-31,149140.9,6879,249,261,14826,397,3.62%,598.96,21.68,1710,2125,285,257,571.42,1.52,9783.56,0
01/05/2024,7595.81,95,9,9,202,20,9.47%,843.98,79.96,19,29,9,7,843.98,2.22,2235,0
02/05/2024,5444.28,72,11,11,186,16,15.28%,494.93,75.62,17,23,11,10,494.93,1.45,1098.6,0
03/05/2024,6680,102,6,6,266,18,5.88%,1113.33,65.49,21,33,4,3,1113.33,3,0,0
04/05/2024,1813,92,4,4,192,5,4.35%,453.25,19.71,16,20,7,5,453.25,1.25,0,0
05/05/2024,11950.08,111,21,21,314,32,18.92%,569.05,107.66,30,41,23,19,569.05,1.52,0,0
06/05/2024,3875.19,80,7,7,216,11,8.75%,553.6,48.44,21,26,6,4,553.6,1.57,0,0
07/05/2024,6360.63,76,13,13,207,15,17.11%,489.28,83.69,16,20,15,13,489.28,1.15,348.88,0
08/05/2024,5170.44,84,12,12,211,14,14.29%,430.87,61.55,20,27,7,6,430.87,1.17,0,0
09/05/2024,6893.34,81,8,9,259,19,9.88%,861.67,85.1,18,36,8,7,765.93,2.11,348.88,0
10/05/2024,4706.6,74,8,8,195,13,10.81%,588.32,63.6,19,29,6,5,588.33,1.62,0,0
11/05/2024,4578.4,83,9,9,194,11,10.84%,508.71,55.16,17,19,10,8,508.71,1.22,1066.5,0
12/05/2024,4576.9,68,10,10,155,12,14.71%,457.69,67.31,12,16,8,8,457.69,1.2,0,0
13/05/2024,6626.07,77,8,8,250,18,10.39%,828.26,86.05,16,24,8,7,828.26,2.25,0,0
14/05/2024,1511.11,61,4,4,140,4,6.56%,377.78,24.77,9,9,4,4,377.78,1,0,0
15/05/2024,5057.95,86,11,11,261,15,12.79%,459.81,58.81,20,28,12,11,459.81,1.36,0,0
16/05/2024,3587.55,80,8,8,236,10,10.00%,448.44,44.84,19,27,9,7,448.44,1.25,352.35,0
17/05/2024,7119.02,72,12,12,230,18,16.67%,593.25,98.88,19,37,10,9,593.25,1.5,0,0
18/05/2024,2171.2,88,5,5,217,6,5.68%,434.24,24.67,18,20,6,5,434.24,1.2,0,0
19/05/2024,1110.5,94,3,3,186,3,3.19%,370.17,11.81,12,12,4,4,370.17,1,0,0
20/05/2024,9438.55,97,13,14,277,25,13.40%,726.04,97.3,15,29,10,10,674.18,1.79,1952.9,0
21/05/2024,2622.5,94,6,6,217,7,6.38%,437.08,27.9,17,23,7,7,437.08,1.17,0,0
22/05/2024,6749.9,81,12,12,247,18,14.81%,562.49,83.33,16,24,9,9,562.49,1.5,0,0
23/05/2024,710.1,64,2,2,136,2,3.13%,355.05,11.1,9,12,2,2,355.05,1,0,0
24/05/2024,6118,88,7,7,176,17,7.95%,874,69.52,12,19,7,7,874,2.43,0,0
25/05/2024,2845.4,89,4,4,209,8,4.49%,711.35,31.97,15,23,5,5,711.35,2,0,0
26/05/2024,5903.2,86,9,9,200,16,10.47%,655.91,68.64,16,17,5,5,655.91,1.78,0,0
27/05/2024,3012.15,81,7,7,209,8,8.64%,430.31,37.19,16,17,7,6,430.31,1.14,0,0
28/05/2024,3033.85,77,5,5,184,9,6.49%,606.77,39.4,16,20,2,2,606.77,1.8,0,0
29/05/2024,3023.4,1793,7,8,3035,8,0.39%,431.91,1.69,386,426,15,15,377.93,1,355.5,0
30/05/2024,5628.34,1872,9,10,3315,10,0.48%,625.37,3.01,512,627,27,27,562.83,1,1688.55,0
31/05/2024,3227.44,1375,7,7,2504,9,0.51%,461.06,2.35,369,412,22,21,461.06,1.29,336.4,0
