Date,Revenue,Visitors,Buyers,Orders,Pageviews,Units Sold,Conversion Rate,Revenue per Buyer,Visitor Value,Add to Cart Users,Add to Cart Units,Wishlists,Wishlist Users,Average Order Value,Average Basket Size,Cancelled Amount,Return/Refund Amount
2025-01-01~2025-01-31,139664.90,4798,214,225,12922,363,4.46%,652.64,29.11,970,1337,235,203,620.73,1.61,6085.50,0.00
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2025-01-01,822.00,151,2,2,264,2,1.32%,411.00,5.44,20,20,3,3,411.00,1.00,0.00,0.00
2025-01-02,4994.00,162,10,10,325,12,6.17%,499.40,30.83,25,32,11,9,499.40,1.20,0.00,0.00
2025-01-03,6023.10,237,11,11,628,15,4.64%,547.55,25.41,92,116,15,13,547.55,1.36,0.00,0.00
2025-01-04,7677.75,243,16,17,781,20,6.58%,479.86,31.60,93,122,18,17,451.63,1.18,401.50,0.00
2025-01-05,3845.60,183,8,8,578,10,4.37%,480.70,21.01,68,85,11,9,480.70,1.25,373.00,0.00
2025-01-06,7345.50,238,7,7,576,21,2.94%,1049.36,30.86,79,118,11,9,1049.36,3.00,0.00,0.00
2025-01-07,11211.70,231,17,17,581,29,7.36%,659.51,48.54,75,100,13,10,659.51,1.71,0.00,0.00
2025-01-08,9528.20,151,12,12,424,25,7.95%,794.02,63.10,39,63,8,8,794.02,2.08,0.00,0.00
2025-01-09,2352.00,148,4,4,331,6,2.70%,588.00,15.89,24,27,3,3,588.00,1.50,0.00,0.00
2025-01-10,4455.10,151,9,9,369,11,5.96%,495.01,29.50,20,27,11,10,495.01,1.22,0.00,0.00
2025-01-11,3217.20,142,5,6,276,8,3.52%,643.44,22.66,14,14,3,3,536.20,1.33,422.20,0.00
2025-01-12,5659.75,195,10,10,470,14,5.13%,565.98,29.02,41,53,12,11,565.98,1.40,0.00,0.00
2025-01-13,5049.90,170,6,6,367,13,3.53%,841.65,29.71,18,26,8,7,841.65,2.17,0.00,0.00
2025-01-14,7387.55,170,9,10,340,19,5.29%,820.84,43.46,26,34,9,8,738.75,1.90,420.50,0.00
2025-01-15,5331.30,155,6,6,341,13,3.87%,888.55,34.40,13,23,6,6,888.55,2.17,0.00,0.00
2025-01-16,793.20,149,2,2,273,2,1.34%,396.60,5.32,20,24,2,2,396.60,1.00,373.00,0.00
2025-01-17,2534.25,146,6,6,312,7,4.11%,422.38,17.36,17,31,8,7,422.38,1.17,0.00,0.00
2025-01-18,3710.95,167,6,7,341,9,3.59%,618.49,22.22,14,18,6,5,530.14,1.29,422.20,0.00
2025-01-19,2460.10,154,3,3,314,9,1.95%,820.03,15.97,24,32,4,1,820.03,3.00,0.00,0.00
2025-01-20,815.10,160,2,2,377,4,1.25%,407.55,5.09,25,31,3,2,407.55,2.00,0.00,0.00
2025-01-21,4730.15,158,10,10,357,12,6.33%,473.02,29.94,16,18,7,7,473.01,1.20,0.00,0.00
2025-01-22,1373.80,174,3,3,361,4,1.72%,457.93,7.90,28,28,5,4,457.93,1.33,0.00,0.00
2025-01-23,6092.95,169,11,12,383,16,6.51%,553.90,36.05,26,30,11,9,507.75,1.33,408.10,0.00
2025-01-24,1945.70,172,2,2,366,5,1.16%,972.85,11.31,20,29,3,3,972.85,2.50,0.00,0.00
2025-01-25,2639.80,174,4,4,454,7,2.30%,659.95,15.17,28,40,7,5,659.95,1.75,401.50,0.00
2025-01-26,2282.20,172,6,6,377,7,3.49%,380.37,13.27,21,26,6,6,380.37,1.17,0.00,0.00
2025-01-27,5264.10,183,7,7,375,14,3.83%,752.01,28.77,19,31,9,8,752.01,2.00,0.00,0.00
2025-01-28,2369.50,229,5,5,522,6,2.18%,473.90,10.35,24,41,5,4,473.90,1.20,0.00,0.00
2025-01-29,6421.70,293,10,10,533,18,3.41%,642.17,21.92,30,41,8,8,642.17,1.80,0.00,0.00
2025-01-30,10929.25,251,9,10,579,24,3.59%,1214.36,43.54,27,41,9,7,1092.92,2.40,2462.00,0.00
2025-01-31,401.50,185,1,1,347,1,0.54%,401.50,2.17,12,16,-,-,401.50,1.00,401.50,0.00
