horizon,rmse,mae
9 days,6.167120749498709,5.166527466605149
10 days,11.95999246128948,6.202205622414719
11 days,12.164478014962135,6.5557268085324125
12 days,12.126657719048167,6.4619479100031745
13 days,12.304979430904643,6.754232121115085
14 days,12.278169153818148,6.701923768471133
15 days,12.141092016974914,6.539343784172906
16 days,12.189123112882209,6.614249180076561
17 days,13.61896917213774,7.579077926588328
18 days,13.647695236148406,7.546130319691595
19 days,9.229422397373071,6.732191469290733
20 days,9.091085012554723,6.597384199996725
21 days,10.3102725500571,7.213183498264943
22 days,10.121767250267087,6.998756732986568
23 days,10.802469854263515,7.4129925077297845
24 days,11.074418973023034,7.742957260461785
25 days,11.585591639993897,8.199887853447503
26 days,10.288892429337078,7.690908961805213
27 days,10.45047969026808,7.831291250961633
28 days,10.347568951514866,7.689494235114689
29 days,10.480809029362806,7.7864477540851516
30 days,10.744369651159637,7.7462445221246945
31 days,10.727063612165699,7.685985531372706
32 days,10.103180154044955,7.415594752577657
33 days,9.759819801638441,6.999339979302695
34 days,9.137208639129653,6.5265556362532395
35 days,8.946949512608125,6.329452616732751
36 days,8.952589635038866,6.394294259223175
37 days,10.291824212393873,6.678944485050132
38 days,10.71514466672439,6.948049160817423
39 days,9.089628674414211,6.061506246772587
40 days,9.570900701707647,6.375464347930478
41 days,9.59747060833296,6.276564076505536
42 days,9.913724885415393,6.6679295815099415
43 days,9.91764176334284,6.639944211910127
44 days,9.55542063083581,6.376342978630454
45 days,10.726169775608733,6.65099929411107
46 days,9.664173287169229,6.482193958249178
47 days,8.976455952134256,6.0150453114354985
48 days,9.137079251542131,6.242958572359205
49 days,9.371136487888846,6.4976181743021
50 days,9.24786469964521,6.458980596505385
51 days,8.897582565314982,6.027433886299604
52 days,9.240233891425081,6.308952137484048
53 days,9.309782951508037,6.364441448172731
54 days,7.480971970224765,5.718829047012256
55 days,7.216514568937323,5.692360937002736
56 days,7.443683907579536,5.898996525312842
57 days,7.674027178718852,6.212429517331119
58 days,7.118556236658991,5.948757189423469
59 days,7.371502075065226,6.145919761193811
60 days,7.503549925110246,6.388580151840134
61 days,7.088378194407577,6.0069114382442175
62 days,6.95750647382755,5.820861754405764
63 days,7.274597624427794,6.058209733028515
64 days,8.030782351656544,6.403035036750506
65 days,8.133768410778366,6.536392466071378
66 days,7.78331538461435,6.133659273116397
67 days,7.5179873132132125,5.788119319564645
68 days,7.2246924962453365,5.492244799141547
69 days,7.146654711707207,5.344150832105491
70 days,7.181047015705086,5.568021121004752
71 days,7.177534653779406,5.580977570641533
72 days,6.987569580811203,5.485339797466259
73 days,6.204144210728325,5.088290934933492
74 days,5.8111299795739155,4.7340407687275645
75 days,6.044237874272847,4.890028049691878
76 days,6.1028369006267384,4.987558704973288
77 days,12.32602770414423,6.206823581195449
78 days,12.515125690940915,6.595426998854821
79 days,12.436017000437623,6.427649080301336
80 days,12.647939508405617,6.673133283385739
81 days,12.613980360079685,6.609255261053065
82 days,12.458671300050073,6.404239018413196
83 days,12.491174479524489,6.435623083115263
84 days,13.700506125720107,7.346924583985608
85 days,13.89667779350717,7.581101098695383
86 days,9.321525601387746,6.782852185001718
87 days,9.215103980913256,6.668412656552736
88 days,10.08778635681824,7.273743797802441
89 days,9.96646956878797,7.2551812769858435
90 days,10.615281833987323,7.6474293437779055
