horizon,rmse,mae
9 days,73.52800669611688,17.669410840929203
10 days,73.63320862350747,17.792416041769
11 days,73.39071968557604,16.87274687774428
12 days,75.0180964711852,17.9184303984198
13 days,74.92861794536046,17.30399067025635
14 days,74.84702510388477,16.949379151301244
15 days,75.03036035946158,16.799771096741697
16 days,22.768822124589033,10.148968984053159
17 days,23.48155954215877,10.763810922032489
18 days,24.849889912396062,12.018385766794404
19 days,25.24056940645938,12.32421552787484
20 days,25.79394382677474,13.03257366332378
21 days,20.160701851059216,11.316112219172473
22 days,20.36467050364758,11.604805469634359
23 days,30.348795388759793,14.216734491283871
24 days,30.145702676818814,14.65722142087066
25 days,28.87627683061716,14.140595823219272
26 days,29.347289812690306,14.219271632382377
27 days,30.20424711881758,14.080269006501524
28 days,30.502562384329536,14.822695012968802
29 days,32.22898801849208,16.012378426518854
30 days,33.158772912728736,17.311812348879737
31 days,33.24226065948559,17.64931048983784
32 days,24.859142653329286,15.444482685944314
33 days,25.53382038603091,15.821134969497502
34 days,29.186029982806392,17.271649504274045
35 days,28.660554859871528,17.436621583016862
36 days,26.15332343494971,16.097010717354244
37 days,25.334266022447444,15.170622410629466
38 days,22.815291772164667,13.944140656828305
39 days,23.760419638348516,13.901008348679015
40 days,23.709507377834807,13.70300660206284
41 days,24.290829955929325,13.873388724094859
42 days,23.65943796407258,13.521073358289364
43 days,19.985771721711785,12.53492284834073
44 days,19.654853802750633,12.093524822340449
45 days,24.091489893046166,13.09239984276865
46 days,29.483327993843098,14.99380138108516
47 days,29.502956447032947,14.770067311911351
48 days,27.723430474954096,13.691809893563812
49 days,28.662123518498625,14.192112499178977
50 days,27.93354442388061,13.93997065107313
51 days,28.65239328837501,14.446556782512081
52 days,28.293785025261116,14.41033198731939
53 days,28.45017024696373,14.681797304506095
54 days,25.57163501147737,14.225514073810405
55 days,18.70110026768061,11.892472139325406
56 days,19.562264182970207,12.441026610331303
57 days,19.688143096046982,12.552433704518217
58 days,19.60996452150788,12.248017290278092
59 days,22.747633788952168,13.39235112066843
60 days,22.529053750479584,13.331245543729388
61 days,22.46565223620784,13.149922129068209
62 days,22.424220774282823,13.252590017276267
63 days,22.290775543303486,13.535910826638807
64 days,42.867147330705095,17.83110623815785
65 days,43.67588154720108,18.318981598748184
66 days,43.80745521835393,18.784868250423514
67 days,43.36101198036551,19.00249396293269
68 days,45.816276095976924,19.513794875195273
69 days,46.36084104478261,19.736457376124708
70 days,46.58036696735514,20.272364616352572
71 days,46.319045661561894,19.440536969880288
72 days,46.25566302092896,18.669192572817945
73 days,30.910596191085997,15.753046468381568
74 days,30.286860904228536,15.445968547453784
75 days,32.18519064938452,16.34884851227158
76 days,32.44442058039421,16.53107725979886
77 days,26.352491635532584,14.351085344849373
78 days,24.51658011849724,13.299721066219576
79 days,23.760019641836955,12.533986115433304
80 days,24.092774814189582,12.93759200438525
81 days,23.275169114777462,12.455621313615246
82 days,20.116666413887835,11.692704571323139
83 days,18.19133049883126,10.704783704762477
84 days,14.162033175501055,9.462066989468589
85 days,15.925962083468047,10.080478723279843
86 days,18.689373186664202,11.938943374696105
87 days,24.355694099664362,13.72719478368555
88 days,35.01915593215935,16.408543784795313
89 days,34.76421911258694,15.95109998278064
90 days,34.84145411880705,16.182549909062722
