ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Mega_Sale_Day,Mega_Sale_Day_lower,Mega_Sale_Day_upper,Payday,Payday_lower,Payday_upper,avg_discount_rate_daily,avg_discount_rate_daily_lower,avg_discount_rate_daily_upper,daily,daily_lower,daily_upper,daily_growth_rate,daily_growth_rate_lower,daily_growth_rate_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,fourier_month_fourier_1,fourier_month_fourier_1_lower,fourier_month_fourier_1_upper,fourier_month_fourier_2,fourier_month_fourier_2_lower,fourier_month_fourier_2_upper,fourier_month_fourier_3,fourier_month_fourier_3_lower,fourier_month_fourier_3_upper,fourier_month_fourier_4,fourier_month_fourier_4_lower,fourier_month_fourier_4_upper,fourier_month_fourier_5,fourier_month_fourier_5_lower,fourier_month_fourier_5_upper,fourier_month_fourier_6,fourier_month_fourier_6_lower,fourier_month_fourier_6_upper,fourier_month_fourier_7,fourier_month_fourier_7_lower,fourier_month_fourier_7_upper,fourier_month_fourier_8,fourier_month_fourier_8_lower,fourier_month_fourier_8_upper,holidays,holidays_lower,holidays_upper,is_weekend,is_weekend_lower,is_weekend_upper,lag_14_items_sold,lag_14_items_sold_lower,lag_14_items_sold_upper,lag_1_items_sold,lag_1_items_sold_lower,lag_1_items_sold_upper,lag_30_items_sold,lag_30_items_sold_lower,lag_30_items_sold_upper,lag_60_items_sold,lag_60_items_sold_lower,lag_60_items_sold_upper,lag_7_items_sold,lag_7_items_sold_lower,lag_7_items_sold_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,rolling_14_items_sold,rolling_14_items_sold_lower,rolling_14_items_sold_upper,rolling_7_items_sold,rolling_7_items_sold_lower,rolling_7_items_sold_upper,scaled_discount_on_event,scaled_discount_on_event_lower,scaled_discount_on_event_upper,scaled_discount_rate,scaled_discount_rate_lower,scaled_discount_rate_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2020-09-19,12.785881789000001,-33.07783463105121,32.34499731988377,12.785881789000001,12.785881789000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-1.0596402508986746,-1.0596402508986746,-1.0596402508986746,1.4458096245402411e-05,1.4458096245402411e-05,1.4458096245402411e-05,-0.030069579997461262,-0.030069579997461262,-0.030069579997461262,6.227720726548216e-05,6.227720726548216e-05,6.227720726548216e-05,-0.08392775054409779,-0.08392775054409779,-0.08392775054409779,-4.427978479619411e-06,-4.427978479619411e-06,-4.427978479619411e-06,0.0006873334662282429,0.0006873334662282429,0.0006873334662282429,1.468917065699051e-06,1.468917065699051e-06,1.468917065699051e-06,0.001082748315004875,0.001082748315004875,0.001082748315004875,0.0,0.0,0.0,-0.092047365,-0.092047365,-0.092047365,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-1.074613692737982,-1.074613692737982,-1.074613692737982,-0.24121942455355028,-0.24121942455355028,-0.24121942455355028,-0.2534372076109881,-0.2534372076109881,-0.2534372076109881,0.0,0.0,0.0,0.0,0.0,0.0,0.0001359488758263948,0.0001359488758263948,0.0001359488758263948,-0.010753345515133536,-0.010753345515133536,-0.010753345515133536,0.0,0.0,0.0,-0.9540018551886045
2020-09-20,12.79701585424585,-34.38300369037804,30.217075123933963,12.79701585424585,12.79701585424585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.19039729982583675,-0.19039729982583675,-0.19039729982583675,-1.138138469632005,-1.138138469632005,-1.138138469632005,-0.0012969401066137776,-0.0012969401066137776,-0.0012969401066137776,-0.02943196253942906,-0.02943196253942906,-0.02943196253942906,-0.009732072026143143,-0.009732072026143143,-0.009732072026143143,-0.07690019361451401,-0.07690019361451401,-0.07690019361451401,0.0021883799839049005,0.0021883799839049005,0.0021883799839049005,0.0005602658390945866,0.0005602658390945866,0.0005602658390945866,-0.035035637832842956,-0.035035637832842956,-0.035035637832842956,0.0007355034382380874,0.0007355034382380874,0.0007355034382380874,0.0,0.0,0.0,-0.092047365,-0.092047365,-0.092047365,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.18129561471840472,-0.18129561471840472,-0.18129561471840472,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-1.152542414883229,-1.152542414883229,-1.152542414883229,-0.22585693052319677,-0.22585693052319677,-0.22585693052319677,-0.23719557611482778,-0.23719557611482778,-0.23719557611482778,0.0,0.0,0.0,0.0,0.0,0.0,0.0007809274938836136,0.0007809274938836136,0.0007809274938836136,-0.010828827545107764,-0.010828827545107764,-0.010828827545107764,0.0,0.0,0.0,-1.9520877017056302
2020-09-21,12.808149919491699,-32.724060839793026,34.28151772244632,12.808149919491699,12.808149919491699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.988502704237522,-0.988502704237522,-0.988502704237522,-0.002552881076339685,-0.002552881076339685,-0.002552881076339685,-0.027546074133975113,-0.027546074133975113,-0.027546074133975113,-0.017887178334777838,-0.017887178334777838,-0.017887178334777838,-0.05699369826128545,-0.05699369826128545,-0.05699369826128545,0.0035699732776721445,0.0035699732776721445,0.0035699732776721445,0.00022607077817102987,0.00022607077817102987,0.00022607077817102987,-0.04759807605755698,-0.04759807605755698,-0.04759807605755698,-8.348981224140951e-05,-8.348981224140951e-05,-8.348981224140951e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-1.009917387994038,-1.009917387994038,-1.009917387994038,-0.2335381775383735,-0.2335381775383735,-0.2335381775383735,-0.24531639186290793,-0.24531639186290793,-0.24531639186290793,0.0,0.0,0.0,0.0,0.0,0.0,-0.006411683911214252,-0.006411683911214252,-0.006411683911214252,-0.010646954645301587,-0.010646954645301587,-0.010646954645301587,0.0,0.0,0.0,-0.12702339223740527
2020-09-22,12.819283984737547,-33.74501313169273,33.241994260261485,12.819283984737547,12.819283984737547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.9507136068226825,-0.9507136068226825,-0.9507136068226825,-0.003700252790201267,-0.003700252790201267,-0.003700252790201267,-0.024491666417739286,-0.024491666417739286,-0.024491666417739286,-0.023038152638350386,-0.023038152638350386,-0.023038152638350386,-0.02753993878835852,-0.02753993878835852,-0.02753993878835852,0.003629240685974609,0.003629240685974609,0.003629240685974609,-0.00019161848451702552,-0.00019161848451702552,-0.00019161848451702552,-0.02962762802283329,-0.02962762802283329,-0.02962762802283329,-0.0008488854950497323,-0.0008488854950497323,-0.0008488854950497323,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.955496308190645,-0.955496308190645,-0.955496308190645,-0.2360985932100991,-0.2360985932100991,-0.2360985932100991,-0.2480233304456013,-0.2480233304456013,-0.2480233304456013,0.0,0.0,0.0,0.0,0.0,0.0,0.009795630743891543,0.009795630743891543,0.009795630743891543,-0.010222286911854046,-0.010222286911854046,-0.010222286911854046,0.0,0.0,0.0,0.5705054636733599
2020-09-23,12.830418049983397,-30.308580632136138,35.133969921599,12.830418049983397,12.830418049983397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.8823334365913047,-0.8823334365913047,-0.8823334365913047,-0.004690534470537388,-0.004690534470537388,-0.004690534470537388,-0.0203979061079201,-0.0203979061079201,-0.0203979061079201,-0.024322895987599097,-0.024322895987599097,-0.024322895987599097,0.006531521269887288,0.006531521269887288,0.006531521269887288,0.0023442566267227417,0.0023442566267227417,0.0023442566267227417,-0.0005382805943280057,-0.0005382805943280057,-0.0005382805943280057,0.007348502677934868,0.007348502677934868,0.007348502677934868,-0.001069718006647801,-0.001069718006647801,-0.001069718006647801,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.8967101192512211,-0.8967101192512211,-0.8967101192512211,-0.2373788010459619,-0.2373788010459619,-0.2373788010459619,-0.249376799736948,-0.249376799736948,-0.249376799736948,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004457911310537068,-0.0004457911310537068,-0.0004457911310537068,-0.009574846328862721,-0.009574846328862721,-0.009574846328862721,0.0,0.0,0.0,1.325252350339765
2020-09-24,12.841552115229245,-29.133310760357272,33.58071578755622,12.841552115229245,12.841552115229245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.8135342210935725,-0.8135342210935725,-0.8135342210935725,-0.005481848461961397,-0.005481848461961397,-0.005481848461961397,-0.015437912718787439,-0.015437912718787439,-0.015437912718787439,-0.021526385781714237,-0.021526385781714237,-0.021526385781714237,0.03951827142080923,0.03951827142080923,0.03951827142080923,0.00019039237532496927,0.00019039237532496927,0.00019039237532496927,-0.0006856702177185774,-0.0006856702177185774,-0.0006856702177185774,0.039611854164438166,0.039611854164438166,0.039611854164438166,-0.0006043335988200688,-0.0006043335988200688,-0.0006043335988200688,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.8281956127742784,-0.8281956127742784,-0.8281956127742784,-0.2381469257474796,-0.2381469257474796,-0.2381469257474796,-0.25018888131175604,-0.25018888131175604,-0.25018888131175604,0.0,0.0,0.0,0.0,0.0,0.0,-0.001575802870010592,-0.001575802870010592,-0.001575802870010592,-0.008729543610695304,-0.008729543610695304,-0.008729543610695304,0.0,0.0,0.0,2.206234992184129
2020-09-25,12.852686180475095,-31.394987038903754,36.180294620462625,12.852686180475095,12.852686180475095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.771150514344152,-0.771150514344152,-0.771150514344152,-0.006040731180027058,-0.006040731180027058,-0.006040731180027058,-0.009821437574630828,-0.009821437574630828,-0.009821437574630828,-0.01511666328202007,-0.01511666328202007,-0.01511666328202007,0.06589944493732144,0.06589944493732144,0.06589944493732144,-0.0020355443655303987,-0.0020355443655303987,-0.0020355443655303987,-0.0005792615473460903,-0.0005792615473460903,-0.0005792615473460903,0.04646699244017809,0.04646699244017809,0.04646699244017809,0.0002487453539297655,0.0002487453539297655,0.0002487453539297655,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.7855012853414403,-0.7855012853414403,-0.7855012853414403,-0.23865900888182467,-0.23865900888182467,-0.23865900888182467,-0.2507302690282947,-0.2507302690282947,-0.2507302690282947,0.0,0.0,0.0,0.0,0.0,0.0,-0.002279229201329014,-0.002279229201329014,-0.002279229201329014,-0.0077154965959592495,-0.0077154965959592495,-0.0077154965959592495,0.0,0.0,0.0,2.7568846656217416
2020-09-26,12.863820245720943,-27.9375413054415,36.51365280370977,12.863820245720943,12.863820245720943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.8603806379007746,-0.8603806379007746,-0.8603806379007746,-0.006343548240363283,-0.006343548240363283,-0.006343548240363283,-0.0037859937136545513,-0.0037859937136545513,-0.0037859937136545513,-0.006166499328823989,-0.006166499328823989,-0.006166499328823989,0.08125972529316958,0.08125972529316958,0.08125972529316958,-0.003510083156766507,-0.003510083156766507,-0.003510083156766507,-0.00025841976053339323,-0.00025841976053339323,-0.00025841976053339323,0.02351666628400375,0.02351666628400375,0.02351666628400375,0.0009423085232568069,0.0009423085232568069,0.0009423085232568069,0.0,0.0,0.0,-0.092047365,-0.092047365,-0.092047365,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.04468737557465172,0.04468737557465172,0.04468737557465172,-0.8711659928259938,-0.8711659928259938,-0.8711659928259938,-0.23902478254921405,-0.23902478254921405,-0.23902478254921405,-0.25111697454010806,-0.25111697454010806,-0.25111697454010806,0.0,0.0,0.0,0.0,0.0,0.0,0.00013594887584992546,0.00013594887584992546,0.00013594887584992546,-0.0065652586010690964,-0.0065652586010690964,-0.0065652586010690964,0.0,0.0,0.0,1.6572975098223377
2020-09-27,12.874954310966793,-32.11664665386175,33.864035778151916,12.874954310966793,12.874954310966793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.8796919604233295,-0.8796919604233295,-0.8796919604233295,-0.00637749392440558,-0.00637749392440558,-0.00637749392440558,0.0024131882129698377,0.0024131882129698377,0.0024131882129698377,0.0038261512279694405,0.0038261512279694405,0.0038261512279694405,0.08302832087210396,0.08302832087210396,0.08302832087210396,-0.003687728215161565,-0.003687728215161565,-0.003687728215161565,0.00015816186531787002,0.00015816186531787002,0.00015816186531787002,-0.014517561345508962,-0.014517561345508962,-0.014517561345508962,0.0010314675100369078,0.0010314675100369078,0.0010314675100369078,0.0,0.0,0.0,-0.092047365,-0.092047365,-0.092047365,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.8885810552378142,-0.8885810552378142,-0.8885810552378142,-0.23929911279975608,-0.23929911279975608,-0.23929911279975608,-0.2534372076109881,-0.2534372076109881,-0.2534372076109881,0.0,0.0,0.0,0.0,0.0,0.0,0.0007809274938855317,0.0007809274938855317,0.0007809274938855317,-0.005313977108370218,-0.005313977108370218,-0.005313977108370218,0.0,0.0,0.0,1.4345138231892753
2020-09-28,12.88608837621264,-30.539431003184255,34.05509935359997,12.88608837621264,12.88608837621264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0043560452,-0.0043560452,-0.0043560452,-0.1034903699487645,-0.1034903699487645,-0.1034903699487645,-0.8120274309149528,-0.8120274309149528,-0.8120274309149528,-0.006141132715687863,-0.006141132715687863,-0.006141132715687863,0.008513953295626929,0.008513953295626929,0.008513953295626929,0.013188856526415977,0.013188856526415977,0.013188856526415977,0.07090922856861295,0.07090922856861295,0.07090922856861295,-0.0025027609371490603,-0.0025027609371490603,-0.0025027609371490603,0.000516371738420385,0.000516371738420385,0.000516371738420385,-0.043238508777892246,-0.043238508777892246,-0.043238508777892246,0.0004590309859955041,0.0004590309859955041,0.0004590309859955041,0.0,0.0,0.0,0.0,0.0,0.0,-0.03193472324629541,-0.03193472324629541,-0.03193472324629541,-0.19485938467570924,-0.19485938467570924,-0.19485938467570924,-0.03899422438204621,-0.03899422438204621,-0.03899422438204621,-0.039254345033577435,-0.039254345033577435,-0.039254345033577435,0.047750266070485346,0.047750266070485346,0.047750266070485346,-0.8267936646118738,-0.8267936646118738,-0.8267936646118738,-0.23951248077239987,-0.23951248077239987,-0.23951248077239987,-0.2534372076109881,-0.2534372076109881,-0.2534372076109881,0.0,0.0,0.0,0.0,0.0,0.0,-0.006411683911212158,-0.006411683911212158,-0.006411683911212158,-0.0039985045857087835,-0.0039985045857087835,-0.0039985045857087835,0.0,0.0,0.0,2.231952145131322
